Query,Ground Truth,LangChain Answer,LangChain Time (s),LangChain F1,LangChain Manual Validation,LlamaIndex Answer,LlamaIndex Time (s),LlamaIndex F1,LlamaIndex Manual Validation
In what country is Normandy located?,France,Normandy is located in France.,1.45,0.33,1,Normandy is located in France.,0.63,0.33,1
When were the Normans in Normandy?,10th and 11th centuries,"The Normans were in Normandy starting in the early 10th century. Their distinct cultural and ethnic identity emerged in the first half of the 10th century, after Norse raiders and pirates from Denmark, Iceland, and Norway settled in the region under their leader Rollo and swore fealty to King Charles III of West Francia. The Normans continued to evolve and remain in Normandy through the 10th and 11th centuries.",6.37,0.12,1,The Normans were in Normandy in the 10th and 11th centuries.,0.75,0.62,1
From which countries did the Norse originate?,"Denmark, Iceland and Norway","The Norse who settled in Normandy originated from several regions, including:

- **Denmark** (Danes)
- **Norway** (Norwegians)
- **Ireland and Scotland** (Norse–Gaels and Orkney Vikings)
- **Possibly Sweden** (Swedes)
- **England** (Anglo-Danes from the English Danelaw under Norse control)

These groups collectively made up the Viking contingents that settled in Normandy and parts of the Atlantic coast.",2.09,0.12,1,The Norse originated from Scandinavia.,0.71,0.0,0
Who was the Norse leader?,Rollo,The Norse leader was Rollo.,0.8,0.4,1,Rollo was the Norse leader.,2.14,0.4,1
What century did the Normans first gain their separate identity?,10th century,The Normans first gained their separate identity in the first half of the 10th century.,1.3,0.29,1,The Normans first gained their separate identity in the first half of the 10th century.,0.83,0.29,1
Who was the duke in the battle of Hastings?,William the Conqueror,"The duke in the Battle of Hastings was William, Duke of Normandy. He is also known as William the Conqueror.",1.02,0.21,1,William the Conqueror was the duke in the battle of Hastings.,0.79,0.4,1
Who ruled the duchy of Normandy,Richard I,"The Duchy of Normandy was initially ruled by the Viking leader Rollo, who became its first duke after the treaty of Saint-Clair-sur-Epte in 911. After Rollo, the duchy was ruled by his descendants, known as the Norman dukes. Notable rulers include Rollo’s son William Longsword, and later William the Conqueror (William I), who became King of England after the Norman Conquest in 1066. The duchy remained under the rule of the Norman dynasty and their successors for several centuries.",2.23,0.03,0,"Rollo, the famed Viking ruler, ruled the Duchy of Normandy.",0.67,0.0,0
What religion were the Normans,Catholic,"The Normans were Catholic Christians. After the descendants of Rollo's Vikings settled in northern France and intermarried with the local Frankish population, they replaced the Norse religion with Catholicism (Christianity).",1.35,0.07,1,The Normans were known for their Christian piety and became exponents of the Catholic orthodoxy.,0.78,0.14,1
What is the original meaning of the word Norman?,Viking,"The original meaning of the word ""Norman"" is ""Northman"" or ""Norseman, Viking."" The English name comes from the French words Normans/Normanz, which are derived from Old Low Franconian Nortmann or directly from Old Norse Norðmaðr, all meaning ""Northman"" or ""Viking.""",1.94,0.05,1,"The original meaning of the word Norman is ""Norseman"" or ""Viking"".",0.8,0.2,1
When was the Latin version of the word Norman first recorded?,9th century,"The Latin version of the word ""Norman"" (Nortmannus, Normannus, or Nordmannus) was first recorded in Medieval Latin in the 9th century.",1.47,0.2,1,The Latin version of the word Norman was first recorded in Medieval Latin in the 9th century.,0.92,0.25,1
When was the Duchy of Normandy founded?,911,The Duchy of Normandy was founded in 911.,0.92,0.25,1,The Duchy of Normandy was founded in 911.,0.66,0.25,1
Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,Rollo signed the treaty of Saint-Clair-sur-Epte with King Charles III of West Francia.,0.73,0.4,1,Rollo signed the treaty of Saint-Clair-sur-Epte with King Charles III of West Francia.,0.64,0.4,1
What river originally bounded the Duchy,Seine,"The river that originally bounded the Duchy of Normandy was the river Epte. According to the treaty of Saint-Clair-sur-Epte, the French lands granted to Rollo and his men lay between the river Epte and the Atlantic coast.",1.31,0.0,0,The river that originally bounded the Duchy was the river Epte.,0.82,0.0,0
Who upon arriving gave the original viking settlers a common identity?,Rollo,"Rollo was the leader who, upon arriving, gave the original Viking settlers in Normandy a common identity. His contingents included various groups of Vikings (Danes, Norwegians, Norse–Gaels, Orkney Vikings, possibly Swedes, and Anglo-Danes), and under his leadership, these groups were unified and ultimately settled in Normandy, forming the basis of the Norman identity.",1.48,0.04,1,Rollo's contingents upon arriving gave the original Viking settlers a common identity.,1.0,0.0,1
